Order_ID,Customer_ID,Product_Category,Product_Price,Discount_Percent,Delivery_Days,Customer_Rating,Return_Status,Return_Reason
ORD100111,CUST10252,Books,4023.38,0,9,1.4,Not Returned,Not Returned
ORD100112,CUST10013,Electronics,2511.31,40,12,4.6,Not Returned,Not Returned
ORD100113,CUST10239,Sports,763.08,20,12,3.7,Not Returned,Not Returned
ORD100114,CUST10241,Sports,800.89,15,12,4.3,Not Returned,Not Returned
ORD100115,CUST10148,Sports,3490.71,5,13,4.5,Not Returned,Not Returned
ORD100116,CUST10235,Books,2265.47,40,9,3.3,Not Returned,Not Returned
ORD100117,CUST10166,Beauty,1162.52,0,13,3.1,Not Returned,Not Returned
ORD100118,CUST10019,Sports,2559.65,0,13,2.7,Returned,Wrong Size
ORD100119,CUST10215,Electronics,508.2,40,1,2.3,Returned,Damaged
ORD100120,CUST10134,Sports,2993.46,30,9,2.7,Returned,Late Delivery
ORD100121,CUST10128,Fashion,1491.17,5,7,4.1,Not Returned,Not Returned
ORD100122,CUST10293,Sports,4028.28,30,9,3.4,Returned,Changed Mind
ORD100123,CUST10245,Books,1689.74,15,8,4.6,Not Returned,Not Returned
ORD100124,CUST10188,Beauty,2385.06,0,1,2.8,Not Returned,Not Returned
ORD100125,CUST10043,Fashion,255.78,0,12,3.4,Not Returned,Not Returned
ORD100126,CUST10085,Books,547.75,20,8,3.5,Not Returned,Not Returned
ORD100127,CUST10043,Books,2083.97,15,8,3.4,Not Returned,Not Returned
ORD100128,CUST10144,Books,2503.71,0,11,3.8,Not Returned,Not Returned
ORD100129,CUST10050,Electronics,3080.1,15,3,1.9,Returned,Not as Described
ORD100130,CUST10241,Books,1599.98,5,1,3.0,Not Returned,Not Returned
ORD100131,CUST10293,Electronics,3535.91,10,8,1.4,Returned,Damaged
ORD100132,CUST10050,Books,4328.59,0,3,2.5,Not Returned,Not Returned
ORD100133,CUST10265,Home,3943.28,20,3,3.0,Returned,Changed Mind
ORD100134,CUST10119,Fashion,390.17,5,1,3.6,Not Returned,Not Returned
ORD100135,CUST10199,Home,2506.43,40,11,4.8,Not Returned,Not Returned
ORD100136,CUST10247,Books,703.66,15,5,3.4,Not Returned,Not Returned
ORD100137,CUST10069,Fashion,1361.82,40,10,4.0,Not Returned,Not Returned
ORD100138,CUST10056,Fashion,4935.98,30,7,3.0,Not Returned,Not Returned
ORD100139,CUST10038,Beauty,883.98,5,10,3.5,Not Returned,Not Returned
ORD100140,CUST10288,Home,2594.66,40,9,1.3,Not Returned,Not Returned
ORD100141,CUST10017,Beauty,3167.15,0,12,2.0,Not Returned,Not Returned
ORD100142,CUST10219,Fashion,3571.83,15,7,2.4,Not Returned,Not Returned
ORD100143,CUST10243,Electronics,2886.31,10,9,2.9,Returned,Changed Mind
ORD100144,CUST10297,Fashion,246.9,5,8,1.2,Returned,Wrong Size
ORD100145,CUST10282,Beauty,1767.01,0,12,1.6,Not Returned,Not Returned
ORD100146,CUST10073,Home,2685.02,20,2,2.1,Not Returned,Not Returned
ORD100147,CUST10109,Books,621.76,30,1,4.9,Not Returned,Not Returned
ORD100148,CUST10179,Books,1883.01,15,7,2.3,Returned,Wrong Size
ORD100149,CUST10031,Home,359.37,5,7,2.9,Not Returned,Not Returned
ORD100150,CUST10233,Books,577.18,5,14,1.8,Returned,Damaged
ORD100151,CUST10281,Books,2105.23,10,8,3.4,Returned,Defective
ORD100152,CUST10024,Beauty,837.04,10,5,2.1,Not Returned,Not Returned
ORD100153,CUST10278,Home,2924.2,20,3,1.8,Not Returned,Not Returned
ORD100154,CUST10225,Sports,3509.43,30,12,3.1,Returned,Defective
ORD100155,CUST10056,Electronics,4042.82,20,8,1.0,Not Returned,Not Returned
ORD100156,CUST10179,Electronics,1160.72,0,6,1.0,Not Returned,Not Returned
ORD100157,CUST10231,Books,1003.92,0,11,1.9,Returned,Changed Mind
ORD100158,CUST10286,Electronics,701.93,20,3,1.1,Returned,Wrong Size
ORD100159,CUST10063,Home,3254.87,30,1,1.4,Returned,Not as Described
ORD100160,CUST10231,Home,3591.08,20,3,2.4,Returned,Not as Described
ORD100161,CUST10288,Fashion,351.61,30,5,4.2,Not Returned,Not Returned
ORD100162,CUST10212,Fashion,4693.82,30,14,3.3,Not Returned,Not Returned
ORD100163,CUST10257,Electronics,449.46,40,3,3.1,Not Returned,Not Returned
ORD100164,CUST10017,Sports,2798.22,15,1,2.2,Not Returned,Not Returned
ORD100165,CUST10174,Fashion,3603.49,30,5,4.7,Not Returned,Not Returned
ORD100166,CUST10228,Fashion,4380.65,10,10,2.6,Not Returned,Not Returned
ORD100167,CUST10225,Home,3627.62,30,7,1.3,Not Returned,Not Returned
ORD100168,CUST10083,Sports,4048.29,30,14,3.5,Not Returned,Not Returned
ORD100169,CUST10290,Books,1829.36,30,7,1.5,Not Returned,Not Returned
ORD100170,CUST10245,Electronics,4111.16,40,11,2.4,Not Returned,Not Returned
ORD100171,CUST10109,Fashion,584.55,40,9,3.0,Not Returned,Not Returned
ORD100172,CUST10253,Sports,4495.12,0,10,4.5,Not Returned,Not Returned
ORD100173,CUST10087,Sports,2828.44,40,10,3.0,Returned,Changed Mind
ORD100174,CUST10071,Electronics,4123.03,10,12,3.8,Not Returned,Not Returned
ORD100175,CUST10029,Sports,2371.13,10,13,5.0,Not Returned,Not Returned
ORD100176,CUST10171,Sports,3289.17,40,3,1.5,Not Returned,Not Returned
ORD100177,CUST10176,Sports,2726.73,20,7,2.1,Not Returned,Not Returned
ORD100178,CUST10138,Fashion,3711.63,15,1,2.6,Not Returned,Not Returned
ORD100179,CUST10193,Electronics,591.82,40,4,2.7,Not Returned,Not Returned
ORD100180,CUST10185,Sports,489.69,30,13,2.6,Returned,Wrong Size
ORD100181,CUST10217,Sports,1386.1,5,4,4.6,Not Returned,Not Returned
ORD100182,CUST10163,Fashion,965.81,15,14,3.9,Not Returned,Not Returned
ORD100183,CUST10160,Electronics,4384.56,15,5,3.4,Not Returned,Not Returned
ORD100184,CUST10012,Home,1252.23,10,7,2.2,Not Returned,Not Returned
ORD100185,CUST10295,Fashion,4884.15,15,7,4.3,Not Returned,Not Returned
ORD100186,CUST10088,Electronics,1817.1,40,13,4.8,Returned,Damaged
ORD100187,CUST10041,Sports,1074.17,30,11,4.3,Not Returned,Not Returned
ORD100188,CUST10209,Electronics,3990.55,30,13,1.0,Returned,Damaged
ORD100189,CUST10228,Electronics,3361.8,0,4,3.5,Not Returned,Not Returned
ORD100190,CUST10274,Books,2591.34,30,13,1.2,Returned,Damaged
ORD100191,CUST10278,Electronics,2865.75,30,7,2.0,Returned,Not as Described
ORD100192,CUST10250,Home,3652.17,10,11,1.2,Returned,Wrong Size
ORD100193,CUST10207,Electronics,1296.58,30,3,3.4,Not Returned,Not Returned
ORD100194,CUST10139,Home,4982.4,0,6,3.7,Not Returned,Not Returned
ORD100195,CUST10279,Sports,4879.01,5,12,1.5,Not Returned,Not Returned
ORD100196,CUST10033,Home,3321.56,40,2,2.5,Returned,Wrong Size
ORD100197,CUST10017,Sports,1157.8,10,10,2.8,Not Returned,Not Returned
ORD100198,CUST10056,Sports,3465.1,5,13,2.5,Returned,Not as Described
ORD100199,CUST10111,Home,546.55,10,14,1.5,Returned,Damaged
ORD100200,CUST10004,Fashion,347.13,20,9,2.7,Not Returned,Not Returned
ORD100201,CUST10181,Beauty,1436.88,15,5,4.0,Not Returned,Not Returned
ORD100202,CUST10012,Electronics,2420.59,20,6,1.3,Returned,Damaged
ORD100203,CUST10284,Books,4367.71,30,12,1.3,Returned,Changed Mind
ORD100204,CUST10258,Beauty,3690.41,5,12,2.4,Not Returned,Not Returned
ORD100205,CUST10089,Electronics,3764.99,30,12,4.8,Returned,Defective
ORD100206,CUST10103,Electronics,2242.37,15,12,3.7,Not Returned,Not Returned
ORD100207,CUST10185,Sports,1860.49,10,4,3.7,Not Returned,Not Returned
ORD100208,CUST10249,Electronics,1980.99,15,14,2.4,Returned,Late Delivery
ORD100209,CUST10254,Books,4940.72,0,14,3.4,Returned,Defective
ORD100210,CUST10075,Electronics,392.52,15,11,1.0,Not Returned,Not Returned
ORD100211,CUST10107,Home,4361.75,0,10,3.5,Not Returned,Not Returned
ORD100212,CUST10155,Beauty,2977.64,15,7,4.7,Not Returned,Not Returned
ORD100213,CUST10081,Home,2305.35,40,12,3.5,Not Returned,Not Returned
ORD100214,CUST10076,Books,3681.24,0,9,4.5,Not Returned,Not Returned
ORD100215,CUST10257,Electronics,2536.01,5,7,3.9,Not Returned,Not Returned
ORD100216,CUST10126,Books,4392.43,30,14,1.5,Not Returned,Not Returned
ORD100217,CUST10281,Sports,4523.37,30,1,4.6,Not Returned,Not Returned
ORD100218,CUST10087,Home,2224.26,20,1,1.3,Not Returned,Not Returned
ORD100219,CUST10203,Home,1528.77,30,9,3.1,Not Returned,Not Returned
ORD100220,CUST10015,Fashion,3043.28,10,11,1.6,Not Returned,Not Returned
ORD100221,CUST10150,Electronics,4579.34,40,14,1.0,Not Returned,Not Returned
ORD100222,CUST10253,Sports,1211.18,15,9,2.7,Returned,Wrong Size
ORD100223,CUST10187,Home,3190.24,20,4,2.2,Not Returned,Not Returned
ORD100224,CUST10031,Home,3231.49,10,13,2.9,Not Returned,Not Returned
ORD100225,CUST10270,Sports,3718.94,10,9,3.3,Returned,Wrong Size
ORD100226,CUST10004,Books,831.52,0,3,1.2,Returned,Wrong Size
ORD100227,CUST10168,Books,3635.96,30,7,1.5,Not Returned,Not Returned
ORD100228,CUST10180,Electronics,4563.36,5,6,3.2,Not Returned,Not Returned
ORD100229,CUST10177,Fashion,1062.48,5,8,2.4,Returned,Defective
ORD100230,CUST10142,Home,1340.21,20,11,3.9,Not Returned,Not Returned
ORD100231,CUST10247,Fashion,4862.7,40,9,3.6,Not Returned,Not Returned
ORD100232,CUST10126,Books,1068.69,5,14,4.4,Not Returned,Not Returned
ORD100233,CUST10262,Books,4301.05,15,5,3.8,Not Returned,Not Returned
ORD100234,CUST10039,Beauty,2562.93,5,1,2.7,Not Returned,Not Returned
ORD100235,CUST10254,Electronics,1386.71,20,3,3.7,Not Returned,Not Returned
ORD100236,CUST10142,Beauty,4379.6,5,10,2.1,Not Returned,Not Returned
ORD100237,CUST10239,Beauty,2337.47,15,12,2.2,Not Returned,Not Returned
ORD100238,CUST10227,Beauty,2671.12,0,8,4.2,Returned,Late Delivery
ORD100239,CUST10197,Electronics,1924.32,40,11,2.8,Returned,Changed Mind
ORD100240,CUST10064,Electronics,3046.16,20,6,4.2,Not Returned,Not Returned
ORD100241,CUST10010,Sports,984.91,0,8,4.3,Not Returned,Not Returned
ORD100242,CUST10107,Fashion,2077.19,0,9,4.4,Returned,Defective
ORD100243,CUST10025,Fashion,4853.18,0,4,4.7,Not Returned,Not Returned
ORD100244,CUST10150,Sports,1439.04,10,1,2.7,Not Returned,Not Returned
ORD100245,CUST10220,Sports,3352.34,40,14,2.3,Not Returned,Not Returned
ORD100246,CUST10236,Books,1760.91,30,1,3.3,Not Returned,Not Returned
ORD100247,CUST10236,Beauty,3912.67,40,10,2.5,Returned,Late Delivery
ORD100248,CUST10218,Sports,828.19,10,4,3.4,Returned,Damaged
ORD100249,CUST10150,Home,4855.14,30,12,3.8,Not Returned,Not Returned
ORD100250,CUST10122,Fashion,2378.19,40,14,3.8,Returned,Damaged
ORD100251,CUST10143,Sports,1333.04,0,7,2.5,Returned,Wrong Size
ORD100252,CUST10188,Home,552.78,20,2,1.7,Not Returned,Not Returned
ORD100253,CUST10254,Home,1014.84,30,3,2.7,Not Returned,Not Returned
ORD100254,CUST10067,Home,2694.91,15,1,1.6,Not Returned,Not Returned
ORD100255,CUST10103,Books,1817.62,15,5,4.6,Not Returned,Not Returned
ORD100256,CUST10158,Books,4178.64,5,1,2.4,Not Returned,Not Returned
ORD100257,CUST10299,Home,2268.26,30,8,1.6,Returned,Not as Described
ORD100258,CUST10089,Books,1393.83,20,1,1.1,Not Returned,Not Returned
ORD100259,CUST10255,Beauty,3162.3,10,11,3.6,Not Returned,Not Returned
ORD100260,CUST10219,Home,3592.53,0,1,3.5,Not Returned,Not Returned
ORD100261,CUST10008,Beauty,1001.8,5,2,2.4,Not Returned,Not Returned
ORD100262,CUST10011,Beauty,1004.57,15,2,1.3,Returned,Wrong Size
ORD100263,CUST10243,Home,376.02,10,12,2.6,Not Returned,Not Returned
ORD100264,CUST10181,Fashion,3734.73,10,6,2.2,Not Returned,Not Returned
ORD100265,CUST10283,Home,3386.26,0,7,3.7,Not Returned,Not Returned
ORD100266,CUST10098,Home,2478.23,30,5,3.4,Not Returned,Not Returned
ORD100267,CUST10196,Books,4252.02,15,1,2.5,Returned,Not as Described
ORD100268,CUST10225,Home,4067.22,20,1,1.9,Returned,Late Delivery
ORD100269,CUST10102,Fashion,3009.7,10,3,5.0,Not Returned,Not Returned
ORD100270,CUST10105,Books,4367.7,0,14,2.8,Not Returned,Not Returned
ORD100271,CUST10057,Electronics,1188.04,20,2,3.8,Not Returned,Not Returned
ORD100272,CUST10077,Electronics,737.21,30,5,1.6,Not Returned,Not Returned
ORD100273,CUST10074,Beauty,1494.8,15,12,2.9,Not Returned,Not Returned
ORD100274,CUST10041,Beauty,474.02,30,10,1.1,Not Returned,Not Returned
ORD100275,CUST10180,Fashion,2749.61,10,6,3.0,Not Returned,Not Returned
ORD100276,CUST10032,Sports,4695.71,20,7,4.9,Not Returned,Not Returned
ORD100277,CUST10070,Electronics,388.85,20,4,2.5,Not Returned,Not Returned
ORD100278,CUST10055,Beauty,786.13,20,7,1.2,Not Returned,Not Returned
ORD100279,CUST10104,Electronics,2370.56,10,11,1.1,Not Returned,Not Returned
ORD100280,CUST10199,Fashion,4682.6,10,8,2.6,Not Returned,Not Returned
ORD100281,CUST10100,Fashion,1717.55,30,11,1.6,Not Returned,Not Returned
ORD100282,CUST10255,Sports,2634.73,5,1,1.1,Not Returned,Not Returned
ORD100283,CUST10073,Sports,399.55,30,6,4.0,Returned,Damaged
ORD100284,CUST10170,Books,912.05,15,8,2.8,Not Returned,Not Returned
ORD100285,CUST10142,Fashion,4935.82,0,5,2.2,Not Returned,Not Returned
ORD100286,CUST10165,Beauty,4832.57,20,4,4.6,Not Returned,Not Returned
ORD100287,CUST10260,Electronics,223.71,5,2,1.5,Returned,Defective
ORD100288,CUST10220,Home,4768.7,0,6,4.8,Not Returned,Not Returned
ORD100289,CUST10082,Sports,3267.78,5,6,2.3,Not Returned,Not Returned
ORD100290,CUST10181,Home,4366.01,40,11,4.6,Returned,Not as Described
ORD100291,CUST10009,Beauty,2382.75,30,1,3.4,Not Returned,Not Returned
ORD100292,CUST10003,Sports,2674.86,10,9,4.3,Not Returned,Not Returned
ORD100293,CUST10291,Home,2546.46,20,12,4.9,Not Returned,Not Returned
ORD100294,CUST10280,Beauty,3400.95,30,11,2.2,Not Returned,Not Returned
ORD100295,CUST10214,Electronics,870.33,0,6,4.8,Not Returned,Not Returned
ORD100296,CUST10097,Beauty,343.87,40,13,2.6,Not Returned,Not Returned
ORD100297,CUST10100,Books,1678.06,40,3,2.5,Not Returned,Not Returned
ORD100298,CUST10008,Sports,3582.47,40,4,2.4,Not Returned,Not Returned
ORD100299,CUST10060,Fashion,1168.9,0,12,3.2,Not Returned,Not Returned
ORD100300,CUST10145,Electronics,3432.48,0,11,1.6,Not Returned,Not Returned
ORD100301,CUST10062,Home,4855.58,0,4,3.2,Not Returned,Not Returned
ORD100302,CUST10120,Sports,650.72,0,3,3.2,Not Returned,Not Returned
ORD100303,CUST10225,Fashion,3428.49,40,10,4.0,Returned,Late Delivery
ORD100304,CUST10104,Beauty,2330.0,40,3,4.3,Not Returned,Not Returned
ORD100305,CUST10259,Fashion,4367.08,5,3,2.8,Not Returned,Not Returned
ORD100306,CUST10254,Sports,1050.32,30,4,2.2,Returned,Damaged
ORD100307,CUST10206,Sports,3524.6,20,7,2.0,Not Returned,Not Returned
ORD100308,CUST10027,Books,4222.95,10,4,1.8,Returned,Defective
ORD100309,CUST10169,Books,4734.15,40,9,1.2,Not Returned,Not Returned
ORD100310,CUST10075,Fashion,3479.59,10,1,2.4,Not Returned,Not Returned
ORD100311,CUST10115,Beauty,2586.44,30,8,2.1,Not Returned,Not Returned
ORD100312,CUST10068,Fashion,3165.67,30,7,4.9,Returned,Not as Described
ORD100313,CUST10233,Sports,4370.74,10,2,3.2,Not Returned,Not Returned
ORD100314,CUST10000,Sports,2938.93,40,8,2.4,Not Returned,Not Returned
ORD100315,CUST10166,Home,345.86,10,1,3.3,Not Returned,Not Returned
ORD100316,CUST10217,Books,4668.55,5,11,1.6,Not Returned,Not Returned
ORD100317,CUST10272,Home,3509.73,15,12,2.8,Not Returned,Not Returned
ORD100318,CUST10250,Electronics,3447.26,40,9,3.5,Not Returned,Not Returned
ORD100319,CUST10173,Sports,1235.24,40,9,3.0,Not Returned,Not Returned
ORD100320,CUST10169,Home,3362.65,20,2,2.6,Not Returned,Not Returned
ORD100321,CUST10245,Fashion,2090.55,0,7,5.0,Not Returned,Not Returned
ORD100322,CUST10089,Books,3325.92,15,14,4.5,Not Returned,Not Returned
ORD100323,CUST10048,Books,711.65,30,10,3.5,Not Returned,Not Returned
ORD100324,CUST10293,Beauty,3357.66,40,3,3.3,Returned,Wrong Size
ORD100325,CUST10149,Fashion,4997.19,10,7,3.5,Not Returned,Not Returned
ORD100326,CUST10131,Beauty,431.42,15,12,1.8,Not Returned,Not Returned
ORD100327,CUST10058,Home,4890.44,20,10,2.6,Returned,Wrong Size
ORD100328,CUST10198,Electronics,2153.16,30,9,1.2,Returned,Wrong Size
ORD100329,CUST10214,Fashion,4379.62,0,4,2.9,Not Returned,Not Returned
ORD100330,CUST10048,Fashion,3955.45,0,12,3.2,Not Returned,Not Returned
ORD100331,CUST10231,Fashion,2921.68,20,1,1.9,Not Returned,Not Returned
ORD100332,CUST10246,Beauty,3744.56,20,2,4.9,Not Returned,Not Returned
ORD100333,CUST10238,Home,4416.87,10,1,4.6,Not Returned,Not Returned
ORD100334,CUST10167,Fashion,2139.87,40,14,3.9,Not Returned,Not Returned
ORD100335,CUST10047,Fashion,1769.76,0,12,3.1,Not Returned,Not Returned
ORD100336,CUST10050,Books,3404.45,30,5,4.5,Not Returned,Not Returned
ORD100337,CUST10298,Electronics,4077.66,15,5,1.5,Not Returned,Not Returned
ORD100338,CUST10097,Books,3858.97,30,11,4.2,Returned,Late Delivery
ORD100339,CUST10215,Books,4029.51,5,7,1.5,Not Returned,Not Returned
ORD100340,CUST10176,Electronics,2290.8,5,9,4.2,Not Returned,Not Returned
ORD100341,CUST10079,Home,4125.6,20,9,2.1,Returned,Wrong Size
